@relation js_obfuscation
@attribute ngrams STRING
@attribute class {malicious,benign,obfuscated}
@data
"QAS_ _QAS _ADS ADSO DSON ONAR SONA NAR_ W_AD _W_A APPE AS_A PEND PPEN S_AP _APP ARAM PARA DPAR ENDP NDPA RAM_ VAR_ _VAR E_W_ ION_ POPU TION APE_ CAPE ESCA OPUP PE_W SCAP SERV _ESC AR_T AR_Z L_W_ AR_W ATTR DATT ENDA NDAT TTR_ _IF_ _JSP _W_W CTIO N_QA",benign
"SION ERSI RSIO VERS ION_ _VER FLAS LASH _REQ _FLA VER_ ARRA RRAY AJOR LSE_ MAJO ASH_ INOR MINO R_RE _IF_ RAY_ ATOR AVIG EVIS GATO IGAT ISIO NAVI REQU REVI R_VE TOR_ VIGA VISI _NAV ELSE JOR_ NOR_ ORVE RVER TEMP _ELS _TEM EQUI IRED LUGI PLUG QUIR UGIN",benign
"ATTR HIS_ THIS _THI _ATT ION_ TION VAR_ _VAR BUTE IBUT RIBU TRIB TTRI TTR_ _IF_ CTIO FUNC NCTI UNCT _FUN ETUR RETU TURN URN_ _RET TES_ UTES STAR TART VAL_ _VAL ART_ _STA S_AT FRAM RAME TWEE WEEN _TWE _EL_ AHOO HOO_ YAHO _YAH _GET EEN_ OO_U O_UT R_VA",benign
"265_ S_26 _265 _S_2 65_P COM_ PROP _COM _PRO 5_PR 0X7_ 10X7 3_0_ 7_S_ AIN_ AOL_ CODE IN_1 L_CO MAIN N_10 ODE_ OL_C OM_M ROP2 S_CO X7_S _10X _3_0 _AOL _COD _MAI _S_C 0_MA 5_LI 65_L ACM_ CUME DOCU ENT_ E_S_ LINK MENT M_MA M_S_ OCUM OP20 P20_ ROP1 R_S_",benign
"_MM_ CUME DOCU ELOA ENT_ INNE LOAD MENT MM_P M_PG NNER NT_M OCUM RELO T_MM UMEN _DOC _IF_ _INN _REL ION_ ADPA AGE_ DPAG DTH_ EIGH ERHE ERWI ESIZ E_WI F_IN GHT_ GW_I HEIG H_DO IDTH IF_I IGHT INIT MM_R M_RE NERH NERW NIT_ OADP PAGE PGH_ PGW_ RESI RHEI",benign
"ENT_ _IF_ CUME DOCU MENT OCUM UMEN VAR_ _DOC _VAR IF__ AR__ _II_ __II ION_ TION BODY F__I HBX_ NT_B ODY_ T_BO _BOD _HBX ATOR AVIG CREE CTIO EEN_ GATO HUD_ IGAT NAVI ON__ REEN SCRE TOR_ VIGA _ER_ _HUD _NAV _SCR _SC_ __HU BNI_ ETUR EVAL FUNC NCTI NT_C",benign
"STS_ _STS MENT ENT_ CUME DOCU OCUM UMEN _DOC _IF_ NNER ANNE BANN _GET GHT_ IGHT EIGH HEIG FLAS LASH STYL TYLE ELEM EMEN LEME YLE_ ION_ R_ST DTH_ IDTH TS_S WIDT _STY _FLA TELE VAR_ ER_S _POP _VAR _SCR ER2_ NER2 TION _OBJ BYID ENTB ETEL GETE LSE_ NTBY",benign
"_BAN _TYP MENT BYPO CUME DOCU ENT_ OCUM POZ_ UMEN XBYP XXBY YPOZ _DOC IPT_ _IF_ TBAN TYP_ ANVI BANV CRIP DXXB EDXX EWED IEWE NVIE OBJ_ RIPT SCRI TYPR VIEW WEDX YPR_ _GET _SCR ANSE ANXX BANS BANX BAN_ CTIO ERVE FILE FUNC ILE_ ION_ ITE_ L_DO NCTI NSER",benign
"_SCR APE_ CAPE CRIP ESCA IPT_ NESC PE_3 RIPT SCAP SCRI UNES _UNE 3C_S ADOC ATIO CATI CEAN COL_ CREE C_SC DOCE EAN_ EEN_ E_3C E_3E ID_P ION_ LOCA N_PR OCAT OCEA OCOL OL_S ON_P OTOC PROT PT_U REEN ROTO SCRE TION TOCO T_UN _200 _3C_ _3E_ _ADO _AD_ _ID_",benign
"MENT ENT_ _IF_ UMEN _VAR CUME DOCU OCUM VAR_ _DOC AME_ TION ION_ _GET EMEN ELEM LEME PLAY RAME TELE FRAM ETEL GETE CTIO T_GE NT_G NAME FUNC NCTI UNCT _FUN _THI THIS ROLL CRID YID_ BYID COOK ENTB NTBY OKIE OOKI TBYI HIS_ LSE_ DCRI ODCR VODC _WIN INDO",benign
"POSI _POS HIS_ THIS _THI OSID SID_ TION STYL TYLE S_PO _IF_ OSIT _OBJ GROU ROUP _GRO VAR_ _VAR ITIO SITI ION_ ONE2 IF_T IONS NE2N ONS_ YLE_ IS_P OURC SOUR URCE _SOU BJID NS_P OBJI CODE CTIO ERRO FUNC NCTI RROR UNCT _FUN ARGE E2N_ GET_ LSE_ RGET TARG",benign
"_CNN AIN_ DOMA MAIN OMAI CDOM CNND DOCD NDOC NNDO OCDO COM_ _COM _IF_ ATIO CATI ER_C ION_ LOCA NER_ OCAT RNER R_CO TION TURN URNE _LOC _TUR AME_ CNN_ CUME DEXO DOCU ENT_ EXOF E_IN F_CN F_LO HOST IF_L INDE IN_C IN_D IN_T MENT ME_I M_0_ M_IF NAME NDEX",benign
"_LWP ATHE EATH THER WEAT COOK OKIE OOKI VAR_ _VAR _CNN KIE_ ERYS HER_ LWPQ PQUE QUER RYST STR_ UERY WPQU YSTR ARR_ E_LW _IF_ _WEA AR_L CNNL CSIM IF_L LWPC LWPW NLWP NNLW PCOO PWEA R_CN R_LW WPCO WPWE ATIO CATI CNN_ LOCA LSE_ OCAT P_LW TION TR_C _LOC",benign
"LOAD NLOA OAD_ ONLO VAR_ COOK CTIO FUNC ION_ NAME NCTI OKIE OOKI SNAM TION UNCT _FUN _SNA _VAR ARRA LARR OLAR RAY_ RRAY _OLA DOW_ ENGT GTH_ INDO LENG NDOW NGTH WIND _LEN _WIN AME_ BUA_ DEXO ETUR EXOF IE_S INDE KIE_ LSE_ NDEX OW_O RETU SIE_ TURN URN_",benign
"MENT ENT_ CUME DOCU OCUM UMEN CRIP IPT_ ME_I ORD_ RIPT SCRI _DOC _ORD 0000 1232 232_ 600_ CLK1 DCLK D_DC E_IF FRAM ID_D INDE ITE_ K123 LK12 NDEX NT_W RAME RITE SRC_ T_WR WRIT _160 _DCL _IND _SCR _SRC _WRI 0X60 0_MA 160X 2_SR 32_S 60X6 6_SZ ACE_ AD_D",benign
"MENT FORM ONE_ OLEC POLE DIV_ _DIV ENT_ RONE STRO TRON OBJ_ _FOR _OBJ ELEM EMEN LEME _IF_ _POL AIL_ MAIL BJ_D CUME DOCU J_DI OCUM ORM_ UMEN _DOC C_ST EC_S LEC_ _ELE _STR ALER EMAI ERT_ LERT NAZW _ALE _EMA _NAZ CTIO E_DI FUNC ION_ LSE_ NCTI NE_F TION",benign
"NAME VAR_ _NAM _VAR COOK KIE_ OKIE OOKI ATE_ DATE E_VA _DAT AIN_ AME_ DOMA ENGT EXPI E_DA GTH_ IRES LENG MAIN ME_V NGTH OMAI PIRE RES_ XPIR _60_ _DOM _EXP _LEN AMEE AYS_ DAYS EEQ_ E_NA IE_N ING_ MEEQ RING STRI TRIN _CA_ _C_C _DAY 000_ 0_10 0_60 1000",benign
"_IS_ TOR_ AEL_ AFAE BROW CSS_ CTOR ECTO ELEC ER_S FAEL HTTP LECT MAC_ OWSE RAFA ROWS R_SE SELE SER_ SS_B S_BR TTP_ WSER _BRO _CSS _HTT _RAF _SEL _UA_ AC_I ADM_ AME_ BR_C CKO_ DM_B ECKO EL_A ERA_ GECK ION_ IS_M L_AD MENT M_BR NAME OPER PERA P_RA R_CS",benign
"MENU ENU_ _MEN TION _IF_ _LI_ _CSS CSSM SMEN SSME VAR_ _VAR PATH ENT_ ATH_ Y_DO _KT_ ILIT ITY_ LITY DOM_ TILI TY_D UTIL _DOM _UTI _PAT TYPE ION_ NAME HIS_ THIS _THI _GET _LEV CTIO FUNC NCTI UNCT _FUN AME_ CLAS LASS _TYP LEV_ M_GE OM_G _OPT _THE THE_",benign
"_IT_ LTIP OBJ_ OLTI OOLT TOOL _OBJ FFSE FSET OFFS _OFF _POS AREN ENT_ IT_S PARE RENT STYL TYLE T_ST YLE_ _STY BJ_O OSX_ POSX TIP_ EFT_ LEFT STOO XSTO _IF_ _XST J_OF MENT TOP_ _CUR _TOO ID_P DTH_ ETPA IDTH ID_I IPID OSY_ PID_ POSY SETP TIPI TPAR WIDT",benign
"CRIP IPT_ RIPT SCRI _SCR ARAM DENT ENTI FIER IDEN IER_ IFIE NTIF PARA TIFI _DJS _PAR ATA_ DATA _IDE DJSD JSDA SDAT E_SC LOAD RAMS _FUN CTIO FUNC ION_ NCTI TION UNCT ADED DED_ MENT OADE SLOA VAR_ _IF_ _VAR AMS_ A_ID ENT_ ETUR ISLO PT_I RETU R_DJ TA_I",benign
"DRAG _DRA _DOC MENT _VAR VAR_ ENT_ ABLE EBOX AGAB GABL RAGA BLEB LEBO _IF_ CUME DOCU OCUM UMEN BOXE OXES ARRA RAY_ RRAY COOK OKIE OOKI CXTC DOCX OCXT XTC_ BJEC JECT OBJE TION ESAR SARR XESA STYL TYLE _STY YLE_ ELEM EMEN LEME OBJ_ AGOB GOBJ RAGO LSE_",benign
"INDO NDOW WIND _NO_ DTH_ EIGH GHT_ HEIG IDTH IGHT WIDT YES_ _HEI _WID _WIN _YES AMET AME_ ARAM AR_N BAR_ DOWN DOW_ ERS_ ETER H_HE ION_ LBAR L_WI METE NAME NO_S OPEN OWNA PARA RAME RL_W R_NO S_WI S_YE TERS TH_H TION URL_ WNAM _OPE _PAR _URL ABLE ARS_",benign
